Name of Source,URL ,Type,Details,Image,Updated,Approved
Open Heritage 3D,https://www.cyark.org/whatwedo/openaccess/,"3D,Open Source / Open Access,Data Sources",An Online Repository for Primary 3D Cultural Heritage Data.,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/7W9WRHLMVzE9b2hc5u1c5w/RAxpTGQsEcGfFI7scA3RVNYmaL3TepIFr3lzEzbyDe155qqzLffjbw3IbYNevQa3a66Rogr6vZmHuY_wWnVIcQXnGKvSOlC-ZzWW2RYSlpXqofvYi31NMyVjDBYHh0YYNZGshOY6Ls-9mVZYf0NrcQ/3td5_D5zNkLaNU7pFXhhH9-nHXZrrpAx_GHIruotM3E),2/14/2025 4:26pm,
Industry Documents Library,https://www.industrydocuments.ucsf.edu/,"Open Source / Open Access,Data Sources","A portal to millions of documents created by industries that influence public health, hosted by the UCSF Library.",image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/lF7C805OvgkKdlAyplwfXg/GkAPKlWvrGtnPEavOIz3DhuYwF2NibhjXu4OVpbFupGAlK3ycg_rxt2qmRTHeNRAQsdrYBVcOUAgmoM212RsDjZ5-rX1GEVop7clk8LqOD8BgkMa9z7IB2wDlzxlD3P3I_BqdGsN_CGXsfB0mrnthg/8BqNsAt0EKWztdberDrFQI1EEI7oWioXiXUla5ZsH1A),2/14/2025 4:26pm,
Manyfold 3D,https://github.com/manyfold3d/manyfold,"3D,Open Source / Open Access",A self-hosted digital asset manager for 3d print files.,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/9IV5GuYm2QQaMrBKcqtc5w/0IqBRbAJ0xUTtNiF3OdEKCH5EoNAKNynfUcgM-9mpLAOrtBip0U09rnjoUaMi7syoU8EPUYxzt_5p4LJ0PgvED4Y9fUgpLYk-7mVHVKmV-idupke_Wb-tJBejZDcb5nF9ruqIzeeQ6fsLEhHbGVOLg/Rt-izI6xIG4ob6t36eJ_OFyefFm6Fn2ERFrn0JOw1Cc),2/14/2025 4:19pm,
Morphosource,https://www.morphosource.org/,"3D,Open Source / Open Access,Data Sources","Find, view, and download 3D data representing the world's natural history, cultural heritage, and scientific collections.

",image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/XP5vkQSA5S_oA0YO6E4pmg/uIioOGrCtlq1PkrvaEw1WI827xt97_gOfTvnxrBErFFBdHt5M5heWfDAYfuGpcmtjcuX7EIy8AK59kzI0-a_AVfLR7VJ8IP3HZMzytrViaftAxwT7d3AK0bvKgEqpHWmyUY-mYlMLsDF3KCLlbvPDw/ObRzsD1TQ86jSg3u_N724ShLaxUbf4caWJIZuLeXJqY),2/14/2025 4:26pm,
Turbo Squid,https://www.turbosquid.com/,"3D,Data Sources",3D models for every budget.,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/55S_D0bA3YJGXrS-GkG0ug/RzEMvRuJJStsX-Wa5QysEoJseI-qelGz54_dC3fgUHBEcLOeL_GeUF0u2912OCH6jfQBXtVplgo8OdO8af-1ai83qOo7romPux4tCT3Sa-D6YmvWQRkMCuR_DiMUol6I_3wVHT__qRSfzHoNZyNl2A/d3C7uHL0y1F3QKG8NkFfuSMZra9czuYRBiZzuEOAw8w),2/14/2025 4:28pm,
Carbon Made,https://carbonmade.com/,Website Builder & CMS Tools,"Made for all creatives who want an easy, personalized way to launch their portfolio.",image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/kdAcTY3ou527IubKYXwd7A/HkEb8joR1XI11O9VbkdMlCdPOeaE1EUZvt2fso4CEoYjnEXBliTjfXxdlQADYjuG1584uE2rk9b_uIDsmMwLV7HgJKqYfCnzv1uWlHJqES-HDcjXG9H73lZFcyyp0D2Me8r1NN_ISTKiojn92zzMRA/vB5TS3IP5qeWPbozkcVEgQiUEbqvGzYxLLm7w-xt43c),2/19/2025 3:47pm,
PapersGPT,https://www.papersgpt.com/,"AI,Research Tools,Open Source / Open Access","Support ChatGPT, DeepSeek, Claude and Gemini, Llama3.2, Phi-3.5, Gemma, Mistral in Zotero are free on your Mac. Secure for your data. All are stored locally, not uploaded to the Cloud. Effectively offer you insight without leaving Zotero.",image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/SrX696Wnzw8k0gHVKuC7hA/Gu6Ox0H9dH6stiX1dT4SbogjZRqCQdWObpfK1uJ3d_YzhHjlkPlBtId6dT5DzAbtUoEa5nByGuoz0EklDX-HrbTXOCWJvcIOoTYYX9Cp_TGLX1WXU5qwCKXESC4Yd_U9uHFKuL8hCL9T-e0Yl3Ggug/JpqPQ7AVsEgFWkvT-oofR-M4ztOVyUdskUsoCG9vfVg),2/20/2025 3:21pm,
Recogito,https://recogito.pelagios.org/,"Research Tools,Open Source / Open Access",Semantic Annotation without the pointy brackets. Work on texts and images. Identify and mark named entities. Use your data in other tools or connect to other data on the Web. Without the need to learn code.,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/44lf8x8p_-IJleEMwpSFcA/sEosuoY8PSr0prkCZJSQ8x9koGJ12lZL9jFy_razcM_YvGj_f7CK7Qu4cuw_9Xm26a8ipaWlGFeA8eIMI9-pQ-7RzD2ak4zTNMCbQofj9zu-bpLP43eHL2WmPHsGRAjIycgdQdd4whdhrv14LcQrRg/obdqleSJmlUBD0lz1PcTUdBTIp0he7IkXGb8Tkwh7yM),2/20/2025 3:57pm,
Mirado,https://projectmirador.org/,"Research Tools,Open Source / Open Access","Open-source, web based, multi-window image viewing platform with the ability to zoom, display, compare and annotate images from around the world. Mirador has been optimized to display resources from repositories that support the International Image Interoperability Framework (IIIF) API's. Mirador provides several workspaces for comparing image-based resources, suitable for use in both cultural heritage and research settings.",image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/inNJlP29sArgL5z4Y2k5GA/wP4PvdHEVaF4Z3YamKqaabsW7GHuRzlys4k1-_kaGhNCrs1ejZFB7r2C7zWepwMOGcSNO7CV6zIVRcaAWpWhpMcYzPCHgBFhPR8UPWtvkc3cDzP3QJra57xKWRYUnMHq9TtVJsyteOZxHMLs9p5tXw/N1GWLIpR5CPvjkCzvE6V17VY0auzZO4NVxVkRygA5IA),2/20/2025 4:00pm,
Transkribus,https://www.transkribus.org/,"Research Tools,Open Source / Open Access","Transkribus enables you to automatically recognize and transcribe text easily, edit seamlessly, collaborate effortlessly, and even train your custom AI for digitizing and interpreting historical documents of any form.",image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/6Q2dXUmTyqNBSDzEM_Mxtw/gGbUIJV2KZHivoakciyvf92MWPGtiOV5lB8tcv1C1gv0J_qd1Gnd8gyj4ATdHDYKIgQ2eaN6y5hmCGaX-0uVaQWAN4GltT1X7fPljSrvbrQG6KQFuJpZSMrZnDAOTMtzfeRTT8iiIYxYweU45DMwKw/JxcRA7RzwDF1bX-RNTFsiw3Gubk9Yozi9uu4VDedYok),10/24/2025 11:43am,
